52026 silly lifecycle ansi-styles@2.1.0~preinstall: no script for preinstall, continuing
53365 verbose linkBins component-bind@1.0.0
53366 verbose linkMans component-bind@1.0.0
53367 silly build component-emitter@1.1.2
53368 info linkStuff component-emitter@1.1.2
53369 silly linkStuff component-emitter@1.1.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53370 verbose linkBins component-emitter@1.1.2
53371 verbose linkMans component-emitter@1.1.2
53372 silly build component-inherit@0.0.3
53373 info linkStuff component-inherit@0.0.3
53374 silly linkStuff component-inherit@0.0.3 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53375 verbose linkBins component-inherit@0.0.3
53376 verbose linkMans component-inherit@0.0.3
53377 silly build concat-map@0.0.1
53378 info linkStuff concat-map@0.0.1
53379 silly linkStuff concat-map@0.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53380 verbose linkBins concat-map@0.0.1
53381 verbose linkMans concat-map@0.0.1
53382 silly build brace-expansion@1.1.2
53383 info linkStuff brace-expansion@1.1.2
53384 silly linkStuff brace-expansion@1.1.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53385 verbose linkBins brace-expansion@1.1.2
53386 verbose linkMans brace-expansion@1.1.2
53387 silly build constants-browserify@0.0.1
53388 info linkStuff constants-browserify@0.0.1
53389 silly linkStuff constants-browserify@0.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53390 verbose linkBins constants-browserify@0.0.1
53391 verbose linkMans constants-browserify@0.0.1
53392 silly build content-type@1.0.1
53393 info linkStuff content-type@1.0.1
53394 silly linkStuff content-type@1.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53395 verbose linkBins content-type@1.0.1
53396 verbose linkMans content-type@1.0.1
53397 silly build core-js@2.0.2
53398 info linkStuff core-js@2.0.2
53399 silly linkStuff core-js@2.0.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53400 verbose linkBins core-js@2.0.2
53401 verbose linkMans core-js@2.0.2
53402 silly build core-util-is@1.0.2
53403 info linkStuff core-util-is@1.0.2
53404 silly linkStuff core-util-is@1.0.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53405 verbose linkBins core-util-is@1.0.2
53406 verbose linkMans core-util-is@1.0.2
53407 silly build crypt@0.0.1
53408 info linkStuff crypt@0.0.1
53409 silly linkStuff crypt@0.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53410 verbose linkBins crypt@0.0.1
53411 verbose linkMans crypt@0.0.1
53412 silly build ctype@0.5.3
53413 info linkStuff ctype@0.5.3
53414 silly linkStuff ctype@0.5.3 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53415 verbose linkBins ctype@0.5.3
53416 verbose linkMans ctype@0.5.3
53417 silly build custom-event@1.0.0
53418 info linkStuff custom-event@1.0.0
53419 silly linkStuff custom-event@1.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53420 verbose linkBins custom-event@1.0.0
53421 verbose linkMans custom-event@1.0.0
53422 silly build date-now@0.1.4
53423 info linkStuff date-now@0.1.4
53424 silly linkStuff date-now@0.1.4 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53425 verbose linkBins date-now@0.1.4
53426 verbose linkMans date-now@0.1.4
53427 silly build console-browserify@1.1.0
53428 info linkStuff console-browserify@1.1.0
53429 silly linkStuff console-browserify@1.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53430 verbose linkBins console-browserify@1.1.0
53431 verbose linkMans console-browserify@1.1.0
53432 silly build dateformat@1.0.2-1.2.3
53433 info linkStuff dateformat@1.0.2-1.2.3
53434 silly linkStuff dateformat@1.0.2-1.2.3 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53435 verbose linkBins dateformat@1.0.2-1.2.3
53436 verbose linkMans dateformat@1.0.2-1.2.3
53437 silly build clone@0.2.0
53438 info linkStuff clone@0.2.0
53439 silly linkStuff clone@0.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/decompress-tar/node_modules as its parent node_modules
53440 verbose linkBins clone@0.2.0
53441 verbose linkMans clone@0.2.0
53442 silly build vinyl@0.4.6
53443 info linkStuff vinyl@0.4.6
53444 silly linkStuff vinyl@0.4.6 has /Users/andrewwerner/Projects/just_ballz/node_modules/decompress-tar/node_modules as its parent node_modules
53445 verbose linkBins vinyl@0.4.6
53446 verbose linkMans vinyl@0.4.6
53447 silly build clone@0.2.0
53448 info linkStuff clone@0.2.0
53449 silly linkStuff clone@0.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/decompress-tarbz2/node_modules as its parent node_modules
53450 verbose linkBins clone@0.2.0
53451 verbose linkMans clone@0.2.0
53452 silly build vinyl@0.4.6
53453 info linkStuff vinyl@0.4.6
53454 silly linkStuff vinyl@0.4.6 has /Users/andrewwerner/Projects/just_ballz/node_modules/decompress-tarbz2/node_modules as its parent node_modules
53455 verbose linkBins vinyl@0.4.6
53456 verbose linkMans vinyl@0.4.6
53457 silly build clone@0.2.0
53458 info linkStuff clone@0.2.0
53459 silly linkStuff clone@0.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/decompress-targz/node_modules as its parent node_modules
53460 verbose linkBins clone@0.2.0
53461 verbose linkMans clone@0.2.0
53462 silly build vinyl@0.4.6
53463 info linkStuff vinyl@0.4.6
53464 silly linkStuff vinyl@0.4.6 has /Users/andrewwerner/Projects/just_ballz/node_modules/decompress-targz/node_modules as its parent node_modules
53465 verbose linkBins vinyl@0.4.6
53466 verbose linkMans vinyl@0.4.6
53467 silly build deep-extend@0.2.11
53468 info linkStuff deep-extend@0.2.11
53469 silly linkStuff deep-extend@0.2.11 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53470 verbose linkBins deep-extend@0.2.11
53471 verbose linkMans deep-extend@0.2.11
53472 silly build defaults@1.0.3
53473 info linkStuff defaults@1.0.3
53474 silly linkStuff defaults@1.0.3 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53475 verbose linkBins defaults@1.0.3
53476 verbose linkMans defaults@1.0.3
53477 silly build delayed-stream@0.0.5
53478 info linkStuff delayed-stream@0.0.5
53479 silly linkStuff delayed-stream@0.0.5 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53480 verbose linkBins delayed-stream@0.0.5
53481 verbose linkMans delayed-stream@0.0.5
53482 silly build combined-stream@0.0.7
53483 info linkStuff combined-stream@0.0.7
53484 silly linkStuff combined-stream@0.0.7 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53485 verbose linkBins combined-stream@0.0.7
53486 verbose linkMans combined-stream@0.0.7
53487 silly build depd@1.1.0
53488 info linkStuff depd@1.1.0
53489 silly linkStuff depd@1.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53490 verbose linkBins depd@1.1.0
53491 verbose linkMans depd@1.1.0
53492 silly build di@0.0.1
53493 info linkStuff di@0.0.1
53494 silly linkStuff di@0.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53495 verbose linkBins di@0.0.1
53496 verbose linkMans di@0.0.1
53497 silly build domain-browser@1.1.7
53498 info linkStuff domain-browser@1.1.7
53499 silly linkStuff domain-browser@1.1.7 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53500 verbose linkBins domain-browser@1.1.7
53501 verbose linkMans domain-browser@1.1.7
53502 silly build ansi-regex@0.2.1
53503 info linkStuff ansi-regex@0.2.1
53504 silly linkStuff ansi-regex@0.2.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules as its parent node_modules
53505 verbose linkBins ansi-regex@0.2.1
53506 verbose linkMans ansi-regex@0.2.1
53507 silly build ansi-styles@1.1.0
53508 info linkStuff ansi-styles@1.1.0
53509 silly linkStuff ansi-styles@1.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules as its parent node_modules
53510 verbose linkBins ansi-styles@1.1.0
53511 verbose linkMans ansi-styles@1.1.0
53512 silly build has-ansi@0.1.0
53513 info linkStuff has-ansi@0.1.0
53514 silly linkStuff has-ansi@0.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules as its parent node_modules
53515 verbose linkBins has-ansi@0.1.0
53516 verbose link bins [ { 'has-ansi': 'cli.js' },
53516 verbose link bins   '/Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin',
53516 verbose link bins   false ]
53517 verbose linkMans has-ansi@0.1.0
53518 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin/has-ansi is being purged
53519 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin/has-ansi
53520 silly build strip-ansi@0.3.0
53521 info linkStuff strip-ansi@0.3.0
53522 silly linkStuff strip-ansi@0.3.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules as its parent node_modules
53523 verbose linkBins strip-ansi@0.3.0
53524 verbose link bins [ { 'strip-ansi': 'cli.js' },
53524 verbose link bins   '/Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin',
53524 verbose link bins   false ]
53525 verbose linkMans strip-ansi@0.3.0
53526 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin/strip-ansi is being purged
53527 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin/strip-ansi
53528 silly build supports-color@0.2.0
53529 info linkStuff supports-color@0.2.0
53530 silly linkStuff supports-color@0.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules as its parent node_modules
53531 verbose linkBins supports-color@0.2.0
53532 verbose link bins [ { 'supports-color': 'cli.js' },
53532 verbose link bins   '/Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin',
53532 verbose link bins   false ]
53533 verbose linkMans supports-color@0.2.0
53534 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin/supports-color is being purged
53535 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules/.bin/supports-color
53536 silly build ansi-regex@0.2.1
53537 info linkStuff ansi-regex@0.2.1
53538 silly linkStuff ansi-regex@0.2.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53539 verbose linkBins ansi-regex@0.2.1
53540 verbose linkMans ansi-regex@0.2.1
53541 silly build ansi-styles@1.1.0
53542 info linkStuff ansi-styles@1.1.0
53543 silly linkStuff ansi-styles@1.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53544 verbose linkBins ansi-styles@1.1.0
53545 verbose linkMans ansi-styles@1.1.0
53546 silly build clone@0.2.0
53547 info linkStuff clone@0.2.0
53548 silly linkStuff clone@0.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53549 verbose linkBins clone@0.2.0
53550 verbose linkMans clone@0.2.0
53551 silly build ansi-regex@2.0.0
53552 info linkStuff ansi-regex@2.0.0
53553 silly linkStuff ansi-regex@2.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-targz/node_modules as its parent node_modules
53554 verbose linkBins ansi-regex@2.0.0
53555 verbose linkMans ansi-regex@2.0.0
53556 silly build ansi-styles@2.1.0
53557 info linkStuff ansi-styles@2.1.0
53558 silly linkStuff ansi-styles@2.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-targz/node_modules as its parent node_modules
53559 verbose linkBins ansi-styles@2.1.0
53560 verbose linkMans ansi-styles@2.1.0
53561 silly build get-stdin@4.0.1
53562 info linkStuff get-stdin@4.0.1
53563 silly linkStuff get-stdin@4.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-targz/node_modules as its parent node_modules
53564 verbose linkBins get-stdin@4.0.1
53565 verbose linkMans get-stdin@4.0.1
53566 silly build has-ansi@2.0.0
53567 info linkStuff has-ansi@2.0.0
53568 silly linkStuff has-ansi@2.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-targz/node_modules as its parent node_modules
53569 verbose linkBins has-ansi@2.0.0
53570 verbose linkMans has-ansi@2.0.0
53571 silly build strip-ansi@3.0.0
53572 info linkStuff strip-ansi@3.0.0
53573 silly linkStuff strip-ansi@3.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-targz/node_modules as its parent node_modules
53574 verbose linkBins strip-ansi@3.0.0
53575 verbose linkMans strip-ansi@3.0.0
53576 silly build supports-color@2.0.0
53577 info linkStuff supports-color@2.0.0
53578 silly linkStuff supports-color@2.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-targz/node_modules as its parent node_modules
53579 verbose linkBins supports-color@2.0.0
53580 verbose linkMans supports-color@2.0.0
53581 silly build ansi-regex@2.0.0
53582 info linkStuff ansi-regex@2.0.0
53583 silly linkStuff ansi-regex@2.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-unzip/node_modules as its parent node_modules
53584 verbose linkBins ansi-regex@2.0.0
53585 verbose linkMans ansi-regex@2.0.0
53586 silly build ansi-styles@2.1.0
53587 info linkStuff ansi-styles@2.1.0
53588 silly linkStuff ansi-styles@2.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-unzip/node_modules as its parent node_modules
53589 verbose linkBins ansi-styles@2.1.0
53590 verbose linkMans ansi-styles@2.1.0
53591 silly build get-stdin@4.0.1
53592 info linkStuff get-stdin@4.0.1
53593 silly linkStuff get-stdin@4.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-unzip/node_modules as its parent node_modules
53594 verbose linkBins get-stdin@4.0.1
53595 verbose linkMans get-stdin@4.0.1
53596 silly build has-ansi@2.0.0
53597 info linkStuff has-ansi@2.0.0
53598 silly linkStuff has-ansi@2.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-unzip/node_modules as its parent node_modules
53599 verbose linkBins has-ansi@2.0.0
53600 verbose linkMans has-ansi@2.0.0
53601 silly build strip-ansi@3.0.0
53602 info linkStuff strip-ansi@3.0.0
53603 silly linkStuff strip-ansi@3.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-unzip/node_modules as its parent node_modules
53604 verbose linkBins strip-ansi@3.0.0
53605 verbose linkMans strip-ansi@3.0.0
53606 silly build supports-color@2.0.0
53607 info linkStuff supports-color@2.0.0
53608 silly linkStuff supports-color@2.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-unzip/node_modules as its parent node_modules
53609 verbose linkBins supports-color@2.0.0
53610 verbose linkMans supports-color@2.0.0
53611 silly build get-stdin@3.0.2
53612 info linkStuff get-stdin@3.0.2
53613 silly linkStuff get-stdin@3.0.2 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53614 verbose linkBins get-stdin@3.0.2
53615 verbose linkMans get-stdin@3.0.2
53616 silly build graceful-fs@3.0.8
53617 info linkStuff graceful-fs@3.0.8
53618 silly linkStuff graceful-fs@3.0.8 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53619 verbose linkBins graceful-fs@3.0.8
53620 verbose linkMans graceful-fs@3.0.8
53621 silly build has-ansi@0.1.0
53622 info linkStuff has-ansi@0.1.0
53623 silly linkStuff has-ansi@0.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53624 verbose linkBins has-ansi@0.1.0
53625 verbose link bins [ { 'has-ansi': 'cli.js' },
53625 verbose link bins   '/Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin',
53625 verbose link bins   false ]
53626 verbose linkMans has-ansi@0.1.0
53627 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin/has-ansi is being purged
53628 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin/has-ansi
53629 silly build get-stdin@4.0.1
53630 info linkStuff get-stdin@4.0.1
53631 silly linkStuff get-stdin@4.0.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/indent-string/node_modules as its parent node_modules
53632 verbose linkBins get-stdin@4.0.1
53633 verbose linkMans get-stdin@4.0.1
53634 silly build minimatch@2.0.10
53635 info linkStuff minimatch@2.0.10
53636 silly linkStuff minimatch@2.0.10 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53637 verbose linkBins minimatch@2.0.10
53638 verbose linkMans minimatch@2.0.10
53639 silly build minimist@1.2.0
53640 info linkStuff minimist@1.2.0
53641 silly linkStuff minimist@1.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53642 verbose linkBins minimist@1.2.0
53643 verbose linkMans minimist@1.2.0
53644 silly build strip-ansi@0.3.0
53645 info linkStuff strip-ansi@0.3.0
53646 silly linkStuff strip-ansi@0.3.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53647 verbose linkBins strip-ansi@0.3.0
53648 verbose link bins [ { 'strip-ansi': 'cli.js' },
53648 verbose link bins   '/Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin',
53648 verbose link bins   false ]
53649 verbose linkMans strip-ansi@0.3.0
53650 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin/strip-ansi is being purged
53651 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin/strip-ansi
53652 silly build supports-color@0.2.0
53653 info linkStuff supports-color@0.2.0
53654 silly linkStuff supports-color@0.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53655 verbose linkBins supports-color@0.2.0
53656 verbose link bins [ { 'supports-color': 'cli.js' },
53656 verbose link bins   '/Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin',
53656 verbose link bins   false ]
53657 verbose linkMans supports-color@0.2.0
53658 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin/supports-color is being purged
53659 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/.bin/supports-color
53660 silly build unique-stream@1.0.0
53661 info linkStuff unique-stream@1.0.0
53662 silly linkStuff unique-stream@1.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53663 verbose linkBins unique-stream@1.0.0
53664 verbose linkMans unique-stream@1.0.0
53665 silly build vinyl@0.4.6
53666 info linkStuff vinyl@0.4.6
53667 silly linkStuff vinyl@0.4.6 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53668 verbose linkBins vinyl@0.4.6
53669 verbose linkMans vinyl@0.4.6
53670 silly build duplexer@0.1.1
53671 info linkStuff duplexer@0.1.1
53672 silly linkStuff duplexer@0.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53673 verbose linkBins duplexer@0.1.1
53674 verbose linkMans duplexer@0.1.1
53675 silly build ee-first@1.1.1
53676 info linkStuff ee-first@1.1.1
53677 silly linkStuff ee-first@1.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53678 verbose linkBins ee-first@1.1.1
53679 verbose linkMans ee-first@1.1.1
53680 silly build graceful-fs@4.1.2
53681 info linkStuff graceful-fs@4.1.2
53682 silly linkStuff graceful-fs@4.1.2 has /Users/andrewwerner/Projects/just_ballz/node_modules/enhanced-resolve/node_modules as its parent node_modules
53683 verbose linkBins graceful-fs@4.1.2
53684 verbose linkMans graceful-fs@4.1.2
53685 silly build memory-fs@0.2.0
53686 info linkStuff memory-fs@0.2.0
53687 silly linkStuff memory-fs@0.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules/enhanced-resolve/node_modules as its parent node_modules
53688 verbose linkBins memory-fs@0.2.0
53689 verbose linkMans memory-fs@0.2.0
53690 silly build ent@2.2.0
53691 info linkStuff ent@2.2.0
53692 silly linkStuff ent@2.2.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53693 verbose linkBins ent@2.2.0
53694 verbose linkMans ent@2.2.0
53695 silly build es5-shim@4.4.1
53696 info linkStuff es5-shim@4.4.1
53697 silly linkStuff es5-shim@4.4.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53698 verbose linkBins es5-shim@4.4.1
53699 verbose linkMans es5-shim@4.4.1
53700 silly build escape-html@1.0.2
53701 info linkStuff escape-html@1.0.2
53702 silly linkStuff escape-html@1.0.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53703 verbose linkBins escape-html@1.0.2
53704 verbose linkMans escape-html@1.0.2
53705 silly build escape-string-regexp@1.0.4
53706 info linkStuff escape-string-regexp@1.0.4
53707 silly linkStuff escape-string-regexp@1.0.4 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53708 verbose linkBins escape-string-regexp@1.0.4
53709 verbose linkMans escape-string-regexp@1.0.4
53710 silly build chalk@1.1.1
53711 info linkStuff chalk@1.1.1
53712 silly linkStuff chalk@1.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-unzip/node_modules as its parent node_modules
53713 verbose linkBins chalk@1.1.1
53714 verbose linkMans chalk@1.1.1
53715 silly build chalk@1.1.1
53716 info linkStuff chalk@1.1.1
53717 silly linkStuff chalk@1.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules/decompress-targz/node_modules as its parent node_modules
53718 verbose linkBins chalk@1.1.1
53719 verbose linkMans chalk@1.1.1
53720 silly build chalk@0.5.1
53721 info linkStuff chalk@0.5.1
53722 silly linkStuff chalk@0.5.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download/node_modules as its parent node_modules
53723 verbose linkBins chalk@0.5.1
53724 verbose linkMans chalk@0.5.1
53725 silly build chalk@0.5.1
53726 info linkStuff chalk@0.5.1
53727 silly linkStuff chalk@0.5.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/download-status/node_modules as its parent node_modules
53728 verbose linkBins chalk@0.5.1
53729 verbose linkMans chalk@0.5.1
53730 silly build decamelize@1.1.2
53731 info linkStuff decamelize@1.1.2
53732 silly linkStuff decamelize@1.1.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53733 verbose linkBins decamelize@1.1.2
53734 verbose linkMans decamelize@1.1.2
53735 silly build esprima@1.0.4
53736 info linkStuff esprima@1.0.4
53737 silly linkStuff esprima@1.0.4 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53738 verbose linkBins esprima@1.0.4
53739 verbose link bins [ { esparse: './bin/esparse.js',
53739 verbose link bins     esvalidate: './bin/esvalidate.js' },
53739 verbose link bins   '/Users/andrewwerner/Projects/just_ballz/node_modules/.bin',
53739 verbose link bins   false ]
53740 verbose linkMans esprima@1.0.4
53741 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/.bin/esparse is being purged
53742 silly gentlyRm /Users/andrewwerner/Projects/just_ballz/node_modules/.bin/esvalidate is being purged
53743 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/.bin/esparse
53744 verbose gentlyRm don't care about contents; nuking /Users/andrewwerner/Projects/just_ballz/node_modules/.bin/esvalidate
53745 silly build eventemitter2@0.4.14
53746 info linkStuff eventemitter2@0.4.14
53747 silly linkStuff eventemitter2@0.4.14 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53748 verbose linkBins eventemitter2@0.4.14
53749 verbose linkMans eventemitter2@0.4.14
53750 silly build eventemitter3@1.1.1
53751 info linkStuff eventemitter3@1.1.1
53752 silly linkStuff eventemitter3@1.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53753 verbose linkBins eventemitter3@1.1.1
53754 verbose linkMans eventemitter3@1.1.1
53755 silly build events@1.1.0
53756 info linkStuff events@1.1.0
53757 silly linkStuff events@1.1.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53758 verbose linkBins events@1.1.0
53759 verbose linkMans events@1.1.0
53760 silly build exit@0.1.2
53761 info linkStuff exit@0.1.2
53762 silly linkStuff exit@0.1.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53763 verbose linkBins exit@0.1.2
53764 verbose linkMans exit@0.1.2
53765 silly build is-number@0.1.1
53766 info linkStuff is-number@0.1.1
53767 silly linkStuff is-number@0.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/expand-braces/node_modules as its parent node_modules
53768 verbose linkBins is-number@0.1.1
53769 verbose linkMans is-number@0.1.1
53770 silly build repeat-string@0.2.2
53771 info linkStuff repeat-string@0.2.2
53772 silly linkStuff repeat-string@0.2.2 has /Users/andrewwerner/Projects/just_ballz/node_modules/expand-braces/node_modules as its parent node_modules
53773 verbose linkBins repeat-string@0.2.2
53774 verbose linkMans repeat-string@0.2.2
53775 silly build expand-range@0.1.1
53776 info linkStuff expand-range@0.1.1
53777 silly linkStuff expand-range@0.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules/expand-braces/node_modules as its parent node_modules
53778 verbose linkBins expand-range@0.1.1
53779 verbose linkMans expand-range@0.1.1
53780 silly build braces@0.1.5
53781 info linkStuff braces@0.1.5
53782 silly linkStuff braces@0.1.5 has /Users/andrewwerner/Projects/just_ballz/node_modules/expand-braces/node_modules as its parent node_modules
53783 verbose linkBins braces@0.1.5
53784 verbose linkMans braces@0.1.5
53785 silly build expand-braces@0.1.2
53786 info linkStuff expand-braces@0.1.2
53787 silly linkStuff expand-braces@0.1.2 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53788 verbose linkBins expand-braces@0.1.2
53789 verbose linkMans expand-braces@0.1.2
53790 silly build expand-brackets@0.1.4
53791 info linkStuff expand-brackets@0.1.4
53792 silly linkStuff expand-brackets@0.1.4 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53793 verbose linkBins expand-brackets@0.1.4
53794 verbose linkMans expand-brackets@0.1.4
53795 silly build extend@3.0.0
53796 info linkStuff extend@3.0.0
53797 silly linkStuff extend@3.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53798 verbose linkBins extend@3.0.0
53799 verbose linkMans extend@3.0.0
53800 silly build file-exists@0.1.1
53801 info linkStuff file-exists@0.1.1
53802 silly linkStuff file-exists@0.1.1 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53803 verbose linkBins file-exists@0.1.1
53804 verbose linkMans file-exists@0.1.1
53805 silly build file-type@3.4.0
53806 info linkStuff file-type@3.4.0
53807 silly linkStuff file-type@3.4.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53808 verbose linkBins file-type@3.4.0
53809 verbose linkMans file-type@3.4.0
53810 silly build filename-regex@2.0.0
53811 info linkStuff filename-regex@2.0.0
53812 silly linkStuff filename-regex@2.0.0 has /Users/andrewwerner/Projects/just_ballz/node_modules as its parent node_modules
53813 verbose linkBins filename-regex@2.0.0
53814 verbose linkMans filename-regex@2.0.0
53815 silly build find-index@0.1.1
53816 info linkStuff find-index@0.1.1
